ground,year,score
MCG,1910,22
MCG,1910,5
MCG,1910,23
MCG,1910,48
MCG,1910,29
MCG,1910,0
MCG,1910,15
MCG,1910,5
MCG,1910,16
MCG,1910,0
MCG,1910,8
MCG,1910,2
MCG,1910,3
MCG,1910,17
MCG,1910,9
MCG,1910,6
MCG,1910,7
MCG,1910,0
MCG,1910,0
MCG,1911,7
MCG,1911,82
MCG,1911,11
MCG,1911,48
MCG,1911,9
MCG,1911,59
MCG,1911,75
MCG,1911,10
MCG,1911,7
MCG,1911,5
MCG,1911,0
MCG,1911,2
MCG,1911,4
MCG,1911,20
MCG,1911,92
MCG,1911,1
MCG,1911,0
MCG,1911,18
MCG,1911,41
MCG,1911,7
MCG,1911,15
MCG,1911,0
MCG,1911,18
MCG,1911,58
MCG,1911,15
MCG,1911,132
MCG,1911,100
MCG,1911,87
MCG,1911,95
MCG,1911,0
MCG,1911,24
MCG,1911,2
MCG,1911,39
MCG,1911,15
MCG,1911,0
MCG,1911,80
MCG,1911,28
MCG,1911,7
MCG,1911,19
MCG,1911,1
MCG,1911,0
MCG,1911,8
MCG,1911,2
MCG,1911,2
MCG,1911,0
MCG,1911,4
MCG,1911,4
MCG,1911,13
MCG,1911,43
MCG,1911,2
MCG,1911,49
MCG,1911,14
MCG,1911,29
MCG,1911,14
MCG,1911,61
MCG,1911,6
MCG,1911,114
MCG,1911,10
MCG,1911,11
MCG,1911,9
MCG,1911,9
MCG,1911,23
MCG,1911,5
MCG,1911,1
MCG,1911,0
MCG,1911,13
MCG,1911,16
MCG,1911,0
MCG,1911,90
MCG,1911,2
MCG,1911,32
MCG,1911,31
MCG,1911,34
MCG,1911,41
MCG,1911,16
MCG,1911,0
MCG,1911,28
MCG,1911,126
MCG,1911,43
MCG,1911,12
MCG,1912,29
MCG,1912,19
MCG,1912,0
MCG,1912,17
MCG,1912,22
MCG,1912,7
MCG,1912,56
MCG,1912,4
MCG,1912,3
MCG,1912,15
MCG,1912,6
MCG,1912,178
MCG,1912,179
MCG,1912,75
MCG,1912,0
MCG,1912,50
MCG,1912,0
MCG,1912,56
MCG,1912,21
MCG,1912,4
MCG,1912,7
MCG,1912,0
MCG,1912,5
MCG,1912,38
MCG,1912,3
MCG,1912,28
MCG,1912,11
MCG,1912,11
MCG,1912,7
MCG,1912,29
